n,e,d
15.32,5.06,657
15.32,5.06,658
15.32,5.06,659
15.32,5.06,660
15.32,5.06,661
15.32,5.06,662
15.32,5.06,663
15.32,5.06,664
15.32,5.06,665
15.32,5.06,666
15.32,5.06,667
15.32,5.06,668
15.32,5.06,669
15.32,5.06,670
15.32,5.06,671
15.32,5.06,672
15.32,5.06,673
15.32,5.06,674
15.32,5.06,675
15.32,5.06,676
15.32,5.06,677
15.32,5.06,678
15.32,5.06,679
15.32,5.06,680
15.32,5.06,681
15.32,5.06,682
15.32,5.06,683
15.32,5.06,684
15.32,5.06,685
15.32,5.06,686
15.32,5.06,687
15.32,5.06,688
15.32,5.06,689
15.32,5.06,690
15.32,5.06,691
15.32,5.06,692
15.32,5.06,693
15.32,5.06,694
15.32,5.06,695
15.32,5.06,696
15.32,5.06,697
15.32,5.06,698
15.32,5.06,699
15.32,5.06,700
15.32,5.06,701
15.32,5.06,702
15.32,5.06,703
15.32,5.06,704
15.32,5.06,705
15.32,5.06,706
15.32,5.06,707
15.32,5.06,708
15.32,5.06,709
15.32,5.06,710
15.32,5.06,711
15.32,5.06,712
15.32,5.06,713
15.32,5.06,714
15.32,5.06,715
15.32,5.06,716
15.32,5.06,717
15.32,5.06,718
15.32,5.06,719
15.32,5.06,720
15.32,5.06,721
15.32,5.06,722
15.32,5.06,723
15.32,5.06,724
15.32,5.06,725
15.32,5.06,726
15.32,5.06,727
15.32,5.06,728
15.32,5.06,729
15.32,5.06,730
15.32,5.06,731
15.32,5.06,732
15.32,5.06,733
15.32,5.06,734
15.32,5.06,735
15.32,5.06,736
15.32,5.06,737
15.32,5.06,738
15.32,5.06,739
15.32,5.06,740
15.32,5.06,741
15.32,5.06,742
15.32,5.06,743
15.32,5.06,744
15.32,5.06,745
15.32,5.06,746
15.32,5.06,747
15.32,5.06,748
15.32,5.06,749
15.32,5.06,750
15.32,5.06,751
15.32,5.06,752
15.32,5.06,753
15.32,5.06,754
15.32,5.06,755
15.32,5.06,756
15.32,5.06,757
15.32,5.06,758
15.32,5.06,759
15.32,5.06,760
15.32,5.06,761
15.32,5.06,762
15.32,5.06,763
15.32,5.06,764
15.32,5.06,765
15.32,5.06,766
15.32,5.06,767
15.32,5.06,768
15.32,5.06,769
15.32,5.06,770
15.32,5.06,771
15.32,5.06,772
15.32,5.06,773
15.32,5.06,774
15.32,5.06,775
15.32,5.06,776
15.32,5.06,777
15.32,5.06,778
15.32,5.06,779
15.32,5.06,780
15.32,5.06,781
15.32,5.06,782
15.32,5.06,783
15.32,5.06,784
15.32,5.06,785
15.32,5.06,786
15.32,5.06,787
15.32,5.06,788
15.32,5.06,789
15.32,5.06,790
15.32,5.06,791
15.32,5.06,792
15.32,5.06,793
15.32,5.06,794
15.32,5.06,795
15.32,5.06,796
15.32,5.06,797
15.32,5.06,798
15.32,5.06,799
15.32,5.06,800
15.32,5.06,801
15.32,5.06,802
15.32,5.06,803
15.32,5.06,804
15.32,5.06,805
15.32,5.06,806
15.32,5.06,807
15.32,5.06,808
15.32,5.06,809
15.32,5.06,810
15.32,5.06,811
15.32,5.06,812
15.32,5.06,813
15.32,5.06,814
15.32,5.06,815
15.32,5.06,816
15.32,5.06,817
15.32,5.06,818
15.32,5.06,819
15.32,5.06,820
15.32,5.06,821
15.32,5.06,822
15.32,5.06,823
15.32,5.06,824
15.32,5.06,825
15.32,5.06,826
15.32,5.06,827
15.32,5.06,828
15.32,5.06,829
15.32,5.06,830
15.32,5.06,831
15.32,5.06,832
15.32,5.06,833
15.32,5.06,834
15.32,5.06,835
15.32,5.06,836
15.32,5.06,837
15.32,5.06,838
15.32,5.06,839
15.32,5.06,840
15.32,5.06,841
15.32,5.06,842
15.32,5.06,843
15.32,5.06,844
15.32,5.06,845
15.32,5.06,846
15.32,5.06,847
15.32,5.06,848
15.32,5.06,849
15.32,5.06,850
15.32,5.06,851
15.32,5.06,852
15.32,5.06,853
15.32,5.06,854
15.32,5.06,855
15.32,5.06,856
15.32,5.06,857
15.32,5.06,858
15.32,5.06,859
15.32,5.06,860
15.32,5.06,861
15.32,5.06,862
15.32,5.06,863
15.32,5.06,864
15.32,5.06,865
15.32,5.06,866
15.32,5.06,867
15.32,5.06,868
15.32,5.06,869
15.32,5.06,870
15.32,5.06,871
15.32,5.06,872
15.32,5.06,873
15.32,5.06,874
15.32,5.06,875
15.32,5.06,876
15.32,5.06,877
15.32,5.06,878
15.32,5.06,879
15.32,5.06,880
15.32,5.06,881
15.32,5.06,882
15.32,5.06,883
15.32,5.06,884
15.32,5.06,885
15.32,5.06,886
15.32,5.06,887
15.32,5.06,888
15.32,5.06,889
15.32,5.06,890
15.32,5.06,891
15.32,5.06,892
15.32,5.06,893
15.32,5.06,894
15.32,5.06,895
15.32,5.06,896
15.32,5.06,897
15.32,5.06,898
15.32,5.06,899
15.32,5.06,900
15.32,5.06,901
15.32,5.06,902
15.32,5.06,903
15.32,5.06,904
15.32,5.06,905
15.32,5.06,906
15.32,5.06,907
15.32,5.06,908
15.32,5.06,909
15.32,5.06,910
15.32,5.06,911
15.32,5.06,912
15.32,5.06,913
15.32,5.06,914
15.32,5.06,915
15.32,5.06,916
15.32,5.06,917
15.32,5.06,918
15.32,5.06,919
15.32,5.06,920
15.32,5.06,921
15.32,5.06,922
15.32,5.06,923
15.32,5.06,924
15.32,5.06,925
15.32,5.06,926
15.32,5.06,927
15.32,5.06,928
15.32,5.06,929
15.32,5.06,930
15.32,5.06,931
15.32,5.06,932
15.32,5.06,933
15.32,5.06,934
15.32,5.06,935
15.32,5.06,936
15.32,5.06,937
15.32,5.06,938
15.32,5.06,939
15.32,5.06,940
15.32,5.06,941
